payment_id,order_id,payment_method,payment_status
PAY00110,ORD00110,Credit Card,Successful
PAY00111,ORD00111,Credit Card,Successful
PAY00112,ORD00112,UPI,Successful
PAY00113,ORD00113,Credit Card,Successful
PAY00114,ORD00114,Credit Card,Successful
PAY00115,ORD00115,UPI,Successful
PAY00116,ORD00116,Credit Card,Successful
PAY00117,ORD00117,UPI,Successful
PAY00118,ORD00118,Cash on Delivery,Successful
PAY00119,ORD00119,Debit Card,Successful
PAY00120,ORD00120,Cash on Delivery,Successful
PAY00121,ORD00121,Credit Card,Failed
PAY00122,ORD00122,Cash on Delivery,Successful
PAY00123,ORD00123,Debit Card,Successful
PAY00124,ORD00124,Cash on Delivery,Successful
PAY00125,ORD00125,Cash on Delivery,Successful
PAY00126,ORD00126,UPI,Successful
PAY00127,ORD00127,Net Banking,Successful
PAY00128,ORD00128,Credit Card,Successful
PAY00129,ORD00129,Debit Card,Successful
PAY00130,ORD00130,Net Banking,Successful
PAY00131,ORD00131,Cash on Delivery,Failed
PAY00132,ORD00132,Debit Card,Successful
PAY00133,ORD00133,UPI,Successful
PAY00134,ORD00134,Credit Card,Successful
PAY00135,ORD00135,Cash on Delivery,Successful
PAY00136,ORD00136,Cash on Delivery,Successful
PAY00137,ORD00137,Cash on Delivery,Successful
PAY00138,ORD00138,Credit Card,Successful
PAY00139,ORD00139,Net Banking,Successful
PAY00140,ORD00140,Credit Card,Successful
PAY00141,ORD00141,Debit Card,Successful
PAY00142,ORD00142,UPI,Successful
PAY00143,ORD00143,Credit Card,Successful
PAY00144,ORD00144,Credit Card,Successful
PAY00145,ORD00145,UPI,Successful
PAY00146,ORD00146,Cash on Delivery,Refunded
PAY00147,ORD00147,Cash on Delivery,Successful
PAY00148,ORD00148,Net Banking,Successful
PAY00149,ORD00149,Debit Card,Successful
PAY00150,ORD00150,UPI,Successful
PAY00151,ORD00151,Net Banking,Failed
PAY00152,ORD00152,Cash on Delivery,Successful
PAY00153,ORD00153,Cash on Delivery,Successful
PAY00154,ORD00154,UPI,Successful
PAY00155,ORD00155,Net Banking,Successful
PAY00156,ORD00156,Credit Card,Successful
PAY00157,ORD00157,Net Banking,Successful
PAY00158,ORD00158,Credit Card,Successful
PAY00159,ORD00159,Debit Card,Successful
PAY00160,ORD00160,Debit Card,Successful
PAY00161,ORD00161,Cash on Delivery,Successful
PAY00162,ORD00162,Cash on Delivery,Successful
PAY00163,ORD00163,UPI,Failed
PAY00164,ORD00164,Cash on Delivery,Failed
PAY00165,ORD00165,Net Banking,Successful
PAY00166,ORD00166,Net Banking,Successful
PAY00167,ORD00167,Debit Card,Successful
PAY00168,ORD00168,Net Banking,Successful
PAY00169,ORD00169,Net Banking,Successful
PAY00170,ORD00170,Debit Card,Successful
PAY00171,ORD00171,UPI,Successful
PAY00172,ORD00172,Credit Card,Successful
PAY00173,ORD00173,Debit Card,Successful
PAY00174,ORD00174,UPI,Successful
PAY00175,ORD00175,UPI,Successful
PAY00176,ORD00176,Net Banking,Successful
PAY00177,ORD00177,Net Banking,Successful
PAY00178,ORD00178,Cash on Delivery,Successful
PAY00179,ORD00179,UPI,Successful
PAY00180,ORD00180,Cash on Delivery,Successful
PAY00181,ORD00181,Debit Card,Successful
PAY00182,ORD00182,UPI,Successful
PAY00183,ORD00183,Net Banking,Successful
PAY00184,ORD00184,Cash on Delivery,Successful
PAY00185,ORD00185,Credit Card,Successful
PAY00186,ORD00186,Cash on Delivery,Successful
PAY00187,ORD00187,Net Banking,Successful
PAY00188,ORD00188,Credit Card,Successful
PAY00189,ORD00189,UPI,Failed
PAY00190,ORD00190,Net Banking,Successful
PAY00191,ORD00191,Debit Card,Successful
PAY00192,ORD00192,Debit Card,Successful
PAY00193,ORD00193,Net Banking,Successful
PAY00194,ORD00194,UPI,Successful
PAY00195,ORD00195,Cash on Delivery,Successful
PAY00196,ORD00196,Cash on Delivery,Successful
PAY00197,ORD00197,UPI,Successful
PAY00198,ORD00198,UPI,Successful
PAY00199,ORD00199,Credit Card,Successful
PAY00200,ORD00200,Debit Card,Successful
PAY00201,ORD00201,Debit Card,Successful
PAY00202,ORD00202,Credit Card,Failed
PAY00203,ORD00203,Debit Card,Successful
PAY00204,ORD00204,UPI,Successful
PAY00205,ORD00205,Cash on Delivery,Failed
PAY00206,ORD00206,Net Banking,Successful
PAY00207,ORD00207,Debit Card,Successful
PAY00208,ORD00208,UPI,Refunded
PAY00209,ORD00209,UPI,Successful
PAY00210,ORD00210,Net Banking,Successful
PAY00211,ORD00211,Debit Card,Successful
PAY00212,ORD00212,UPI,Successful
PAY00213,ORD00213,Credit Card,Successful
PAY00214,ORD00214,Credit Card,Successful
PAY00215,ORD00215,Cash on Delivery,Successful
PAY00216,ORD00216,Credit Card,Successful
PAY00217,ORD00217,UPI,Successful
PAY00218,ORD00218,Cash on Delivery,Successful
PAY00219,ORD00219,Net Banking,Successful
PAY00220,ORD00220,Credit Card,Successful
PAY00221,ORD00221,Cash on Delivery,Successful
PAY00222,ORD00222,Cash on Delivery,Successful
PAY00223,ORD00223,Credit Card,Refunded
PAY00224,ORD00224,Cash on Delivery,Successful
PAY00225,ORD00225,Credit Card,Successful
PAY00226,ORD00226,Debit Card,Successful
PAY00227,ORD00227,Cash on Delivery,Successful
PAY00228,ORD00228,UPI,Successful
PAY00229,ORD00229,Credit Card,Successful
PAY00230,ORD00230,Cash on Delivery,Successful
PAY00231,ORD00231,Net Banking,Successful
PAY00232,ORD00232,Net Banking,Failed
PAY00233,ORD00233,Cash on Delivery,Successful
PAY00234,ORD00234,Cash on Delivery,Successful
PAY00235,ORD00235,Cash on Delivery,Successful
PAY00236,ORD00236,Debit Card,Successful
PAY00237,ORD00237,UPI,Successful
PAY00238,ORD00238,Cash on Delivery,Successful
PAY00239,ORD00239,Net Banking,Successful
PAY00240,ORD00240,Debit Card,Successful
PAY00241,ORD00241,UPI,Failed
PAY00242,ORD00242,UPI,Successful
PAY00243,ORD00243,Cash on Delivery,Successful
PAY00244,ORD00244,Net Banking,Successful
PAY00245,ORD00245,Debit Card,Successful
PAY00246,ORD00246,Debit Card,Successful
PAY00247,ORD00247,Cash on Delivery,Successful
PAY00248,ORD00248,Cash on Delivery,Successful
PAY00249,ORD00249,Net Banking,Successful
PAY00250,ORD00250,Debit Card,Successful
PAY00251,ORD00251,Cash on Delivery,Successful
PAY00252,ORD00252,Credit Card,Successful
PAY00253,ORD00253,Credit Card,Successful
PAY00254,ORD00254,Debit Card,Successful
PAY00255,ORD00255,Debit Card,Successful
PAY00256,ORD00256,Debit Card,Successful
PAY00257,ORD00257,Debit Card,Successful
PAY00258,ORD00258,UPI,Refunded
PAY00259,ORD00259,Cash on Delivery,Successful
PAY00260,ORD00260,Net Banking,Successful
PAY00261,ORD00261,Cash on Delivery,Successful
PAY00262,ORD00262,Credit Card,Successful
PAY00263,ORD00263,UPI,Successful
PAY00264,ORD00264,Credit Card,Successful
PAY00265,ORD00265,UPI,Successful
PAY00266,ORD00266,Net Banking,Successful
PAY00267,ORD00267,Credit Card,Successful
PAY00268,ORD00268,Net Banking,Successful
PAY00269,ORD00269,UPI,Failed
PAY00270,ORD00270,Credit Card,Successful
PAY00271,ORD00271,Net Banking,Successful
PAY00272,ORD00272,Net Banking,Failed
PAY00273,ORD00273,Debit Card,Successful
PAY00274,ORD00274,Debit Card,Successful
PAY00275,ORD00275,Cash on Delivery,Successful
PAY00276,ORD00276,Credit Card,Refunded
PAY00277,ORD00277,Credit Card,Successful
PAY00278,ORD00278,Credit Card,Successful
PAY00279,ORD00279,Cash on Delivery,Successful
PAY00280,ORD00280,Credit Card,Successful
PAY00281,ORD00281,Net Banking,Successful
PAY00282,ORD00282,Cash on Delivery,Refunded
PAY00283,ORD00283,UPI,Successful
PAY00284,ORD00284,Debit Card,Successful
PAY00285,ORD00285,Debit Card,Successful
PAY00286,ORD00286,Net Banking,Successful
PAY00287,ORD00287,Debit Card,Successful
PAY00288,ORD00288,Cash on Delivery,Failed
PAY00289,ORD00289,Debit Card,Successful
PAY00290,ORD00290,Net Banking,Successful
PAY00291,ORD00291,Debit Card,Successful
PAY00292,ORD00292,Net Banking,Successful
PAY00293,ORD00293,Debit Card,Successful
PAY00294,ORD00294,Cash on Delivery,Successful
PAY00295,ORD00295,Cash on Delivery,Failed
PAY00296,ORD00296,Debit Card,Successful
PAY00297,ORD00297,Credit Card,Successful
PAY00298,ORD00298,UPI,Failed
PAY00299,ORD00299,Cash on Delivery,Successful
PAY00300,ORD00300,Cash on Delivery,Failed
PAY00301,ORD00301,Net Banking,Successful
PAY00302,ORD00302,Net Banking,Successful
PAY00303,ORD00303,UPI,Successful
PAY00304,ORD00304,Debit Card,Successful
PAY00305,ORD00305,Cash on Delivery,Successful
PAY00306,ORD00306,Cash on Delivery,Successful
PAY00307,ORD00307,Credit Card,Refunded
PAY00308,ORD00308,Debit Card,Successful
PAY00309,ORD00309,Net Banking,Failed
PAY00310,ORD00310,Debit Card,Refunded
PAY00311,ORD00311,UPI,Successful
PAY00312,ORD00312,Net Banking,Successful
PAY00313,ORD00313,Net Banking,Successful
PAY00314,ORD00314,Debit Card,Failed
PAY00315,ORD00315,Cash on Delivery,Successful
PAY00316,ORD00316,Net Banking,Successful
PAY00317,ORD00317,Cash on Delivery,Failed
PAY00318,ORD00318,Cash on Delivery,Successful
PAY00319,ORD00319,Debit Card,Successful
PAY00320,ORD00320,Debit Card,Successful
PAY00321,ORD00321,Net Banking,Successful
PAY00322,ORD00322,Credit Card,Refunded
PAY00323,ORD00323,Debit Card,Successful
PAY00324,ORD00324,UPI,Successful
PAY00325,ORD00325,Cash on Delivery,Failed
PAY00326,ORD00326,Net Banking,Successful
PAY00327,ORD00327,Cash on Delivery,Refunded
PAY00328,ORD00328,Cash on Delivery,Refunded
PAY00329,ORD00329,Debit Card,Successful
PAY00330,ORD00330,UPI,Successful
PAY00331,ORD00331,Cash on Delivery,Successful
PAY00332,ORD00332,Cash on Delivery,Failed
PAY00333,ORD00333,Net Banking,Successful
PAY00334,ORD00334,Cash on Delivery,Successful
PAY00335,ORD00335,Net Banking,Successful
PAY00336,ORD00336,Net Banking,Successful
PAY00337,ORD00337,Credit Card,Successful
PAY00338,ORD00338,Credit Card,Successful
PAY00339,ORD00339,Debit Card,Successful
PAY00340,ORD00340,Credit Card,Successful
PAY00341,ORD00341,Credit Card,Successful
PAY00342,ORD00342,UPI,Successful
PAY00343,ORD00343,Debit Card,Successful
PAY00344,ORD00344,Debit Card,Successful
PAY00345,ORD00345,UPI,Failed
PAY00346,ORD00346,Debit Card,Successful
PAY00347,ORD00347,Debit Card,Successful
PAY00348,ORD00348,Cash on Delivery,Successful
PAY00349,ORD00349,UPI,Successful
PAY00350,ORD00350,Net Banking,Failed
PAY00351,ORD00351,Cash on Delivery,Successful
PAY00352,ORD00352,Cash on Delivery,Successful
PAY00353,ORD00353,Net Banking,Successful
PAY00354,ORD00354,UPI,Successful
PAY00355,ORD00355,UPI,Successful
PAY00356,ORD00356,Net Banking,Failed
PAY00357,ORD00357,Cash on Delivery,Successful
PAY00358,ORD00358,UPI,Failed
PAY00359,ORD00359,UPI,Successful
PAY00360,ORD00360,UPI,Successful
PAY00361,ORD00361,UPI,Successful
PAY00362,ORD00362,Net Banking,Successful
PAY00363,ORD00363,Credit Card,Successful
PAY00364,ORD00364,Net Banking,Failed
PAY00365,ORD00365,UPI,Successful
PAY00366,ORD00366,Cash on Delivery,Successful
PAY00367,ORD00367,UPI,Successful
PAY00368,ORD00368,Debit Card,Successful
PAY00369,ORD00369,Credit Card,Successful
PAY00370,ORD00370,UPI,Successful
PAY00371,ORD00371,Cash on Delivery,Successful
PAY00372,ORD00372,UPI,Successful
PAY00373,ORD00373,Cash on Delivery,Successful
PAY00374,ORD00374,UPI,Successful
PAY00375,ORD00375,Debit Card,Successful
PAY00376,ORD00376,Debit Card,Successful
PAY00377,ORD00377,Net Banking,Successful
PAY00378,ORD00378,Cash on Delivery,Successful
PAY00379,ORD00379,UPI,Successful
PAY00380,ORD00380,Cash on Delivery,Successful
PAY00381,ORD00381,Credit Card,Successful
PAY00382,ORD00382,Credit Card,Successful
PAY00383,ORD00383,Cash on Delivery,Successful
PAY00384,ORD00384,Debit Card,Successful
PAY00385,ORD00385,Cash on Delivery,Refunded
PAY00386,ORD00386,Credit Card,Successful
PAY00387,ORD00387,Cash on Delivery,Successful
PAY00388,ORD00388,Debit Card,Successful
PAY00389,ORD00389,Debit Card,Successful
PAY00390,ORD00390,Credit Card,Successful
PAY00391,ORD00391,Cash on Delivery,Successful
PAY00392,ORD00392,Credit Card,Successful
PAY00393,ORD00393,Debit Card,Successful
PAY00394,ORD00394,Credit Card,Successful
PAY00395,ORD00395,Net Banking,Successful
PAY00396,ORD00396,Cash on Delivery,Successful
PAY00397,ORD00397,UPI,Successful
PAY00398,ORD00398,Debit Card,Successful
PAY00399,ORD00399,Credit Card,Successful
PAY00400,ORD00400,Cash on Delivery,Successful
PAY00401,ORD00401,Cash on Delivery,Successful
PAY00402,ORD00402,Cash on Delivery,Failed
PAY00403,ORD00403,Net Banking,Successful
PAY00404,ORD00404,Cash on Delivery,Successful
PAY00405,ORD00405,Net Banking,Successful
PAY00406,ORD00406,Debit Card,Successful
PAY00407,ORD00407,Debit Card,Successful
PAY00408,ORD00408,Cash on Delivery,Failed
PAY00409,ORD00409,Net Banking,Successful
PAY00410,ORD00410,Debit Card,Successful
PAY00411,ORD00411,UPI,Successful
PAY00412,ORD00412,Credit Card,Successful
PAY00413,ORD00413,Credit Card,Successful
PAY00414,ORD00414,UPI,Successful
PAY00415,ORD00415,Cash on Delivery,Successful
PAY00416,ORD00416,Debit Card,Successful
PAY00417,ORD00417,Debit Card,Successful
PAY00418,ORD00418,Debit Card,Successful
PAY00419,ORD00419,UPI,Successful
PAY00420,ORD00420,Net Banking,Successful
PAY00421,ORD00421,Credit Card,Successful
PAY00422,ORD00422,Debit Card,Successful
PAY00423,ORD00423,UPI,Refunded
PAY00424,ORD00424,Net Banking,Successful
PAY00425,ORD00425,Debit Card,Successful
PAY00426,ORD00426,Debit Card,Successful
PAY00427,ORD00427,Net Banking,Refunded
PAY00428,ORD00428,UPI,Successful
PAY00429,ORD00429,Cash on Delivery,Failed
PAY00430,ORD00430,Cash on Delivery,Refunded
PAY00431,ORD00431,Credit Card,Successful
PAY00432,ORD00432,Credit Card,Successful
PAY00433,ORD00433,Credit Card,Successful
PAY00434,ORD00434,Credit Card,Successful
PAY00435,ORD00435,Net Banking,Successful
PAY00436,ORD00436,Credit Card,Successful
PAY00437,ORD00437,Credit Card,Successful
PAY00438,ORD00438,Net Banking,Successful
PAY00439,ORD00439,Credit Card,Failed
PAY00440,ORD00440,Credit Card,Successful
PAY00441,ORD00441,Credit Card,Successful
PAY00442,ORD00442,UPI,Refunded
PAY00443,ORD00443,Cash on Delivery,Successful
PAY00444,ORD00444,UPI,Successful
PAY00445,ORD00445,Debit Card,Successful
PAY00446,ORD00446,Net Banking,Successful
PAY00447,ORD00447,Net Banking,Successful
PAY00448,ORD00448,Credit Card,Failed
PAY00449,ORD00449,Debit Card,Successful
PAY00450,ORD00450,Cash on Delivery,Failed
PAY00451,ORD00451,UPI,Successful
PAY00452,ORD00452,Net Banking,Successful
PAY00453,ORD00453,Net Banking,Successful
PAY00454,ORD00454,Net Banking,Successful
PAY00455,ORD00455,Credit Card,Successful
PAY00456,ORD00456,UPI,Successful
PAY00457,ORD00457,Debit Card,Successful
PAY00458,ORD00458,Cash on Delivery,Successful
PAY00459,ORD00459,UPI,Successful
PAY00460,ORD00460,Net Banking,Successful
PAY00461,ORD00461,Net Banking,Successful
PAY00462,ORD00462,Credit Card,Successful
PAY00463,ORD00463,Debit Card,Successful
PAY00464,ORD00464,Debit Card,Successful
PAY00465,ORD00465,Credit Card,Successful
PAY00466,ORD00466,Credit Card,Successful
PAY00467,ORD00467,Cash on Delivery,Successful
PAY00468,ORD00468,Debit Card,Failed
PAY00469,ORD00469,UPI,Successful
PAY00470,ORD00470,Cash on Delivery,Successful
PAY00471,ORD00471,Cash on Delivery,Failed
PAY00472,ORD00472,Cash on Delivery,Successful
PAY00473,ORD00473,Net Banking,Successful
PAY00474,ORD00474,Debit Card,Successful
PAY00475,ORD00475,Net Banking,Successful
PAY00476,ORD00476,Credit Card,Successful
PAY00477,ORD00477,Credit Card,Failed
PAY00478,ORD00478,Net Banking,Refunded
PAY00479,ORD00479,Cash on Delivery,Refunded
PAY00480,ORD00480,UPI,Successful
PAY00481,ORD00481,Net Banking,Successful
PAY00482,ORD00482,UPI,Refunded
PAY00483,ORD00483,Debit Card,Successful
PAY00484,ORD00484,Cash on Delivery,Failed
PAY00485,ORD00485,Credit Card,Successful
PAY00486,ORD00486,UPI,Successful
PAY00487,ORD00487,Credit Card,Successful
PAY00488,ORD00488,Cash on Delivery,Successful
PAY00489,ORD00489,Cash on Delivery,Successful
PAY00490,ORD00490,Net Banking,Successful
PAY00491,ORD00491,Net Banking,Successful
PAY00492,ORD00492,Credit Card,Successful
PAY00493,ORD00493,Cash on Delivery,Successful
PAY00494,ORD00494,Credit Card,Successful
PAY00495,ORD00495,Debit Card,Successful
PAY00496,ORD00496,Credit Card,Refunded
PAY00497,ORD00497,Credit Card,Successful
PAY00498,ORD00498,Debit Card,Refunded
PAY00499,ORD00499,Credit Card,Successful
PAY00500,ORD00500,Debit Card,Successful
PAY00501,ORD00501,Cash on Delivery,Successful
PAY00502,ORD00502,UPI,Successful
PAY00503,ORD00503,UPI,Successful
PAY00504,ORD00504,Cash on Delivery,Successful
PAY00505,ORD00505,Net Banking,Successful
PAY00506,ORD00506,Cash on Delivery,Successful
PAY00507,ORD00507,Credit Card,Successful
PAY00508,ORD00508,Credit Card,Successful
PAY00509,ORD00509,Cash on Delivery,Successful
PAY00510,ORD00510,Net Banking,Successful
PAY00511,ORD00511,Credit Card,Successful
PAY00512,ORD00512,Net Banking,Successful
PAY00513,ORD00513,UPI,Successful
PAY00514,ORD00514,Cash on Delivery,Successful
PAY00515,ORD00515,Credit Card,Successful
PAY00516,ORD00516,Credit Card,Successful
PAY00517,ORD00517,UPI,Successful
PAY00518,ORD00518,Credit Card,Successful
PAY00519,ORD00519,Net Banking,Successful
PAY00520,ORD00520,Debit Card,Successful
PAY00521,ORD00521,Debit Card,Successful
PAY00522,ORD00522,Net Banking,Successful
PAY00523,ORD00523,Credit Card,Successful
PAY00524,ORD00524,Net Banking,Successful
PAY00525,ORD00525,Credit Card,Failed
PAY00526,ORD00526,Net Banking,Failed
PAY00527,ORD00527,Cash on Delivery,Refunded
PAY00528,ORD00528,UPI,Successful
PAY00529,ORD00529,Credit Card,Successful
PAY00530,ORD00530,Credit Card,Failed
PAY00531,ORD00531,UPI,Successful
PAY00532,ORD00532,Cash on Delivery,Successful
PAY00533,ORD00533,Debit Card,Successful
PAY00534,ORD00534,Credit Card,Successful
PAY00535,ORD00535,UPI,Successful
PAY00536,ORD00536,Debit Card,Failed
PAY00537,ORD00537,Cash on Delivery,Successful
PAY00538,ORD00538,Net Banking,Successful
PAY00539,ORD00539,Net Banking,Successful
PAY00540,ORD00540,Cash on Delivery,Successful
PAY00541,ORD00541,Cash on Delivery,Successful
PAY00542,ORD00542,Net Banking,Successful
PAY00543,ORD00543,Net Banking,Successful
PAY00544,ORD00544,Cash on Delivery,Successful
PAY00545,ORD00545,Debit Card,Successful
PAY00546,ORD00546,Debit Card,Successful
PAY00547,ORD00547,Credit Card,Successful
PAY00548,ORD00548,Net Banking,Failed
PAY00549,ORD00549,Credit Card,Refunded
PAY00550,ORD00550,Cash on Delivery,Successful
PAY00551,ORD00551,Credit Card,Successful
PAY00552,ORD00552,Net Banking,Refunded
PAY00553,ORD00553,Debit Card,Successful
PAY00554,ORD00554,Credit Card,Successful
PAY00555,ORD00555,Cash on Delivery,Refunded
PAY00556,ORD00556,Credit Card,Successful
PAY00557,ORD00557,Cash on Delivery,Successful
PAY00558,ORD00558,UPI,Successful
PAY00559,ORD00559,Debit Card,Successful
PAY00560,ORD00560,Credit Card,Successful
PAY00561,ORD00561,UPI,Successful
PAY00562,ORD00562,Credit Card,Successful
PAY00563,ORD00563,Debit Card,Successful
PAY00564,ORD00564,Debit Card,Successful
PAY00565,ORD00565,UPI,Successful
PAY00566,ORD00566,Net Banking,Refunded
PAY00567,ORD00567,UPI,Failed
PAY00568,ORD00568,Cash on Delivery,Successful
PAY00569,ORD00569,Debit Card,Successful
PAY00570,ORD00570,UPI,Successful
PAY00571,ORD00571,Credit Card,Successful
PAY00572,ORD00572,Debit Card,Successful
PAY00573,ORD00573,Net Banking,Successful
PAY00574,ORD00574,Cash on Delivery,Successful
PAY00575,ORD00575,Credit Card,Successful
PAY00576,ORD00576,Net Banking,Failed
PAY00577,ORD00577,Credit Card,Successful
PAY00578,ORD00578,Credit Card,Successful
PAY00579,ORD00579,Net Banking,Successful
PAY00580,ORD00580,Debit Card,Successful
PAY00581,ORD00581,Cash on Delivery,Successful
PAY00582,ORD00582,Cash on Delivery,Successful
PAY00583,ORD00583,UPI,Successful
PAY00584,ORD00584,Debit Card,Successful
PAY00585,ORD00585,Cash on Delivery,Successful
PAY00586,ORD00586,Credit Card,Successful
PAY00587,ORD00587,Cash on Delivery,Successful
PAY00588,ORD00588,Credit Card,Successful
PAY00589,ORD00589,UPI,Successful
PAY00590,ORD00590,Debit Card,Failed
PAY00591,ORD00591,Debit Card,Successful
PAY00592,ORD00592,Net Banking,Successful
PAY00593,ORD00593,Debit Card,Successful
PAY00594,ORD00594,Credit Card,Refunded
PAY00595,ORD00595,UPI,Successful
PAY00596,ORD00596,Net Banking,Successful
PAY00597,ORD00597,Debit Card,Successful
PAY00598,ORD00598,Credit Card,Successful
PAY00599,ORD00599,Cash on Delivery,Successful
PAY00600,ORD00600,Credit Card,Successful
PAY00601,ORD00601,Debit Card,Successful
PAY00602,ORD00602,Credit Card,Successful
PAY00603,ORD00603,Debit Card,Failed
PAY00604,ORD00604,Credit Card,Failed
PAY00605,ORD00605,UPI,Successful
PAY00606,ORD00606,Net Banking,Successful
PAY00607,ORD00607,Credit Card,Successful
PAY00608,ORD00608,UPI,Successful
PAY00609,ORD00609,UPI,Refunded
PAY00610,ORD00610,Net Banking,Successful
PAY00611,ORD00611,Credit Card,Successful
PAY00612,ORD00612,Credit Card,Successful
PAY00613,ORD00613,Cash on Delivery,Successful
PAY00614,ORD00614,Debit Card,Successful
PAY00615,ORD00615,Cash on Delivery,Successful
PAY00616,ORD00616,Credit Card,Successful
PAY00617,ORD00617,Net Banking,Successful
PAY00618,ORD00618,UPI,Refunded
PAY00619,ORD00619,UPI,Successful
PAY00620,ORD00620,Cash on Delivery,Successful
PAY00621,ORD00621,Credit Card,Successful
PAY00622,ORD00622,Net Banking,Successful
PAY00623,ORD00623,Credit Card,Successful
PAY00624,ORD00624,Debit Card,Successful
